Metal,Substrate,theta,Temp,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled
In0.992Sc0.008,Al2O3,19.39327485,973,142.224,1.77664,9.928,5.08E-08,139.44,406.268,3.2
In0.986Sc0.014,Al2O3,12.8874269,973,142.392,1.77412,9.874,8.89E-08,139.77,406.268,3.2
In0.984Sc0.016,Al2O3,11.27923977,973,142.448,1.77328,9.856,1.02E-07,139.88,406.268,3.2
In0.979Sc0.021,Al2O3,11.41812865,973,142.588,1.77118,9.811,1.33E-07,140.155,406.268,3.2
In0.973Sc0.027,Al2O3,10.46783626,973,142.756,1.76866,9.757,1.71E-07,140.485,406.268,3.2
In0.952Sc0.048,Al2O3,11.05263158,973,143.344,1.75984,9.568,3.05E-07,141.64,406.268,3.2
Cu,Al2O3,161.4309743,1423,132,1.9,10,0,225,406.268,3.2
Ag0.72Cu0.28,Ca1F2,125.4935955,1423,141.36,1.9216,10,0,225,407.3333333,0.666666667
Bi,U1O2,163.1698797,1073,148,2.02,10,0,12,505.8666667,1.333333333
Sn,Al2O3,133,973,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,127,1073,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,127,1173,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,127,1273,139,1.96,10,0,141,406.268,3.2
Sn0.98Ti0.02,Al2O3,92,973,139.42,1.9516,9.84,4.51E-07,142.06,406.268,3.2
Sn0.98Ti0.02,Al2O3,78,1073,139.42,1.9516,9.84,4.51E-07,142.06,406.268,3.2
Sn0.98Ti0.02,Al2O3,77,1173,139.42,1.9516,9.84,4.51E-07,142.06,406.268,3.2
Sn0.98Ti0.02,Al2O3,77,1273,139.42,1.9516,9.84,4.51E-07,142.06,406.268,3.2
Sn0.95Ti0.05,Al2O3,83,973,140.05,1.939,9.6,1.13E-06,143.65,406.268,3.2
Sn0.95Ti0.05,Al2O3,59,1073,140.05,1.939,9.6,1.13E-06,143.65,406.268,3.2
Sn0.95Ti0.05,Al2O3,50,1173,140.05,1.939,9.6,1.13E-06,143.65,406.268,3.2
Sn0.95Ti0.05,Al2O3,49,1273,140.05,1.939,9.6,1.13E-06,143.65,406.268,3.2
Al,Ti1O2,148,973,121,1.61,0,0,225,683.5333333,1.333333333
Al,Ti1O2,127,1073,121,1.61,0,0,225,683.5333333,1.333333333
Al,Ti1O2,91,1173,121,1.61,0,0,225,683.5333333,1.333333333
Al,Ti1O2,85,1273,121,1.61,0,0,225,683.5333333,1.333333333
Fe,Al2O3,132,1823,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,133,1838,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,134,1848,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,134,1858,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,132,1873,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,115,1823,132,1.83,6,2.1106628,229,406.268,3.2
Fe0.84Cr0.16,Al2O3,155,1823,133.12,1.8028,5.84,1.772956752,229,406.268,3.2
Fe0.84Cr0.16,Al2O3,148,1823,133.12,1.8028,5.84,1.772956752,229,406.268,3.2
Fe0.68Cr0.32,Al2O3,147,1823,134.24,1.7756,5.68,1.435250704,229,406.268,3.2
Fe0.68Cr0.32,Al2O3,143,1823,134.24,1.7756,5.68,1.435250704,229,406.268,3.2
Fe0.68Cr0.32,Al2O3,140,1823,134.24,1.7756,5.68,1.435250704,229,406.268,3.2
Fe,Al2O3,119,1823,132,1.83,6,2.1106628,229,406.268,3.2
Fe0.88Cr0.12,Al2O3,118,1823,132.84,1.8096,5.88,1.857383264,229,406.268,3.2
Fe0.83Cr0.17,Al2O3,117,1823,133.19,1.8011,5.83,1.751850124,229,406.268,3.2
Fe0.8Cr0.2,Al2O3,110,1823,133.4,1.796,5.8,1.68853024,229,406.268,3.2
Fe0.78Cr0.22,Al2O3,114,1823,133.54,1.7926,5.78,1.646316984,229,406.268,3.2
Fe0.88Cr0.12,Mg1O1,102,1823,132.84,1.8096,5.88,1.857383264,229,488.9,1
Fe0.83Cr0.17,Mg1O1,114,1823,133.19,1.8011,5.83,1.751850124,229,488.9,1
Fe0.8Cr0.2,Mg1O1,102,1823,133.4,1.796,5.8,1.68853024,229,488.9,1
Fe0.78Cr0.22,Mg1O1,102,1823,133.54,1.7926,5.78,1.646316984,229,488.9,1
Ag,Al2O3,121,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,118,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,110,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,99,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,94,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,90,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,91,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,85,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,79,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,129,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,120,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,112,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,86,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,130,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,110,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,96,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,92,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,86,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,82.5,1381,145,1.93,10,0,225,406.268,3.2
Cu,Y2O3,145,1423,132,1.9,10,0,225,752.48,1.2
Ag,Y2O3,141,1423,145,1.93,10,0,225,752.48,1.2
Au,Y2O3,134,1423,136,2.54,10,0,225,752.48,1.2
Sn,Y2O3,84,1423,139,1.96,10,0,141,752.48,1.2
Ge,Y2O3,47,1423,120,2.01,10,0,225,752.48,1.2
Cu,Gd2O3,129,1423,132,1.9,10,0,225,667.28,1.2
Ag,Gd2O3,128,1423,145,1.93,10,0,225,667.28,1.2
Au,Gd2O3,127,1423,136,2.54,10,0,225,667.28,1.2
Sn,Gd2O3,81,1423,139,1.96,10,0,141,667.28,1.2
Ge,Gd2O3,43,1423,120,2.01,10,0,225,667.28,1.2
Cu,Tb2O3,148,1423,132,1.9,10,0,225,684.48,1.2
Ag,Tb2O3,137,1423,145,1.93,10,0,225,684.48,1.2
Au,Tb2O3,130,1423,136,2.54,10,0,225,684.48,1.2
Sn,Tb2O3,75,1423,139,1.96,10,0,141,684.48,1.2
Ge,Tb2O3,41,1423,120,2.01,10,0,225,684.48,1.2
Cu,Dy2O3,147,1423,132,1.9,10,0,225,706.88,1.2
Ag,Dy2O3,137,1423,145,1.93,10,0,225,706.88,1.2
Au,Dy2O3,132,1423,136,2.54,10,0,225,706.88,1.2
Sn,Dy2O3,85,1423,139,1.96,10,0,141,706.88,1.2
Ge,Dy2O3,46,1423,120,2.01,10,0,225,706.88,1.2
Cu,Ho2O3,149,1423,132,1.9,10,0,225,731.68,1.2
Ag,Ho2O3,145,1423,145,1.93,10,0,225,731.68,1.2
Au,Ho2O3,144,1423,136,2.54,10,0,225,731.68,1.2
Sn,Ho2O3,96,1423,139,1.96,10,0,141,731.68,1.2
Ge,Ho2O3,57,1423,120,2.01,10,0,225,731.68,1.2
Cu,Er2O3,152,1423,132,1.9,10,0,225,740.88,1.2
Ag,Er2O3,145,1423,145,1.93,10,0,225,740.88,1.2
Au,Er2O3,140,1423,136,2.54,10,0,225,740.88,1.2
Sn,Er2O3,88,1423,139,1.96,10,0,141,740.88,1.2
Ge,Er2O3,53,1423,120,2.01,10,0,225,740.88,1.2
Cu,Tm2O3,148,1423,132,1.9,10,0,225,760.08,1.2
Ag,Tm2O3,144,1423,145,1.93,10,0,225,760.08,1.2
Au,Tm2O3,127,1423,136,2.54,10,0,225,760.08,1.2
Sn,Tm2O3,81,1423,139,1.96,10,0,141,760.08,1.2
Ge,Tm2O3,46,1423,120,2.01,10,0,225,760.08,1.2
Cu,Yb2O3,125,1423,132,1.9,10,0,225,469.68,1.2
Ag,Yb2O3,116,1423,145,1.93,10,0,225,469.68,1.2
Au,Yb2O3,113,1423,136,2.54,10,0,225,469.68,1.2
Sn,Yb2O3,81,1423,139,1.96,10,0,141,469.68,1.2
Ge,Yb2O3,51,1423,120,2.01,10,0,225,469.68,1.2
Cu,Lu2O3,149,1423,132,1.9,10,0,225,807.28,1.2
Ag,Lu2O3,147,1423,145,1.93,10,0,225,807.28,1.2
Au,Lu2O3,140,1423,136,2.54,10,0,225,807.28,1.2
Sn,Lu2O3,92,1423,139,1.96,10,0,141,807.28,1.2
Ge,Lu2O3,81,1423,120,2.01,10,0,225,807.28,1.2
Cu,Al2O3,134,1423,132,1.9,10,0,225,406.268,3.2
Ag,Al2O3,130,1423,145,1.93,10,0,225,406.268,3.2
Au,Al2O3,126,1423,136,2.54,10,0,225,406.268,3.2
Sn,Al2O3,124,1423,139,1.96,10,0,141,406.268,3.2
Ge,Al2O3,110,1423,120,2.01,10,0,225,406.268,3.2
Ag0.96Ti0.04,Y2O3,71,1423,145.6,1.9144,9.68,9.01E-07,223.76,752.48,1.2
Ag0.96Ti0.04,Er2O3,71,1423,145.6,1.9144,9.68,9.01E-07,223.76,740.88,1.2
Ag0.96Ti0.04,Al2O3,67,1423,145.6,1.9144,9.68,9.01E-07,223.76,406.268,3.2
Au0.92Ti0.08,Y2O3,65,1423,137.92,2.46,9.36,1.80E-06,222.52,752.48,1.2
Au0.92Ti0.08,Cd2O3,59,1423,137.92,2.46,9.36,1.80E-06,222.52,270.568,1.2
Au0.92Ti0.08,Er2O3,67,1423,137.92,2.46,9.36,1.80E-06,222.52,740.88,1.2
Au0.92Ti0.08,Tm2O3,67,1423,137.92,2.46,9.36,1.80E-06,222.52,760.08,1.2
Au0.92Ti0.08,Yb2O3,54,1423,137.92,2.46,9.36,1.80E-06,222.52,469.68,1.2
Au0.92Ti0.08,Lu2O3,63,1423,137.92,2.46,9.36,1.80E-06,222.52,807.28,1.2
Au0.92Ti0.08,Al2O3,62,1423,137.92,2.46,9.36,1.80E-06,222.52,406.268,3.2
Cu0.43Ti0.57,Y2O3,57,1423,147.96,1.6948,5.44,1.28E-05,207.33,752.48,1.2
Cu0.43Ti0.57,Cd2O3,49,1423,147.96,1.6948,5.44,1.28E-05,207.33,270.568,1.2
Cu0.43Ti0.57,Tb2O3,53,1423,147.96,1.6948,5.44,1.28E-05,207.33,684.48,1.2
Cu0.43Ti0.57,Dy2O3,60,1423,147.96,1.6948,5.44,1.28E-05,207.33,706.88,1.2
Cu0.43Ti0.57,Ho2O3,48,1423,147.96,1.6948,5.44,1.28E-05,207.33,731.68,1.2
Cu0.43Ti0.57,Er2O3,59,1423,147.96,1.6948,5.44,1.28E-05,207.33,740.88,1.2
Cu0.43Ti0.57,Tm2O3,58,1423,147.96,1.6948,5.44,1.28E-05,207.33,760.08,1.2
Cu0.43Ti0.57,Yb2O3,29,1423,147.96,1.6948,5.44,1.28E-05,207.33,469.68,1.2
Cu0.43Ti0.57,Lu2O3,60,1423,147.96,1.6948,5.44,1.28E-05,207.33,807.28,1.2
Cu0.43Ti0.57,Al2O3,2,1423,147.96,1.6948,5.44,1.28E-05,207.33,406.268,3.2
Sn0.96Ti0.04,Y2O3,31,1423,139.84,1.9432,9.68,9.01E-07,143.12,752.48,1.2
Sn0.96Ti0.04,Cd2O3,29,1423,139.84,1.9432,9.68,9.01E-07,143.12,270.568,1.2
Sn0.96Ti0.04,Dy2O3,32,1423,139.84,1.9432,9.68,9.01E-07,143.12,706.88,1.2
Sn0.96Ti0.04,Ho2O3,32,1423,139.84,1.9432,9.68,9.01E-07,143.12,731.68,1.2
Sn0.96Ti0.04,Er2O3,35,1423,139.84,1.9432,9.68,9.01E-07,143.12,740.88,1.2
Sn0.96Ti0.04,Tm2O3,31,1423,139.84,1.9432,9.68,9.01E-07,143.12,760.08,1.2
Sn0.96Ti0.04,Yb2O3,25,1423,139.84,1.9432,9.68,9.01E-07,143.12,469.68,1.2
Sn0.96Ti0.04,Lu2O3,41,1423,139.84,1.9432,9.68,9.01E-07,143.12,807.28,1.2
Sn0.96Ti0.04,Al2O3,59,1423,139.84,1.9432,9.68,9.01E-07,143.12,406.268,3.2
Ge0.95Ti0.05,Y2O3,24,1423,122,1.9865,9.6,1.13E-06,223.45,752.48,1.2
Ge0.95Ti0.05,Cd2O3,22,1423,122,1.9865,9.6,1.13E-06,223.45,270.568,1.2
Ge0.95Ti0.05,Tb2O3,27,1423,122,1.9865,9.6,1.13E-06,223.45,684.48,1.2
Ge0.95Ti0.05,Dy2O3,28,1423,122,1.9865,9.6,1.13E-06,223.45,706.88,1.2
Ge0.95Ti0.05,Ho2O3,29,1423,122,1.9865,9.6,1.13E-06,223.45,731.68,1.2
Ge0.95Ti0.05,Er2O3,32,1423,122,1.9865,9.6,1.13E-06,223.45,740.88,1.2
Ge0.95Ti0.05,Tm2O3,27,1423,122,1.9865,9.6,1.13E-06,223.45,760.08,1.2
Ge0.95Ti0.05,Yb2O3,22,1423,122,1.9865,9.6,1.13E-06,223.45,469.68,1.2
Ge0.95Ti0.05,Lu2O3,24,1423,122,1.9865,9.6,1.13E-06,223.45,807.28,1.2
Ge0.95Ti0.05,Al2O3,39,1423,122,1.9865,9.6,1.13E-06,223.45,406.268,3.2
Cu,Al2O3,129.122807,1423,132,1.9,10,0,225,406.268,3.2
Cu0.992Ti0.008,Al2O3,87.36842105,1423,132.224,1.89712,9.936,1.80E-07,224.752,406.268,3.2
Cu0.979Ti0.021,Al2O3,68.42105263,1423,132.588,1.89244,9.832,4.73E-07,224.349,406.268,3.2
Cu0.974Ti0.026,Al2O3,49.12280702,1423,132.728,1.89064,9.792,5.86E-07,224.194,406.268,3.2
Cu0.95Ti0.05,Al2O3,20.35087719,1423,133.4,1.882,9.6,1.13E-06,223.45,406.268,3.2
Cu0.941Ti0.059,Al2O3,9.473684211,1423,133.652,1.87876,9.528,1.33E-06,223.171,406.268,3.2
Cu0.924Ti0.076,Al2O3,3.50877193,1423,134.128,1.87264,9.392,1.71E-06,222.644,406.268,3.2
Cu0.898Ti0.102,Al2O3,2.807017544,1423,134.856,1.86328,9.184,2.30E-06,221.838,406.268,3.2
Cu,Y2O3,141.0526316,1423,132,1.9,10,0,225,752.48,1.2
Cu0.954Ti0.046,Y2O3,112.6315789,1423,133.288,1.88344,9.632,1.04E-06,223.574,752.48,1.2
Cu0.897Ti0.103,Y2O3,80.70175439,1423,134.884,1.86292,9.176,2.32E-06,221.807,752.48,1.2
Cu0.826Ti0.174,Y2O3,71.57894737,1423,136.872,1.83736,8.608,3.92E-06,219.606,752.48,1.2
Cu0.748Ti0.252,Y2O3,61.05263158,1423,139.056,1.80928,7.984,5.68E-06,217.188,752.48,1.2
Cu0.631Ti0.369,Y2O3,55.78947368,1423,142.332,1.76716,7.048,8.31E-06,213.561,752.48,1.2
Cu0.566Ti0.434,Y2O3,55.78947368,1423,144.152,1.74376,6.528,9.78E-06,211.546,752.48,1.2
Cu0.511Ti0.489,Y2O3,55.0877193,1423,145.692,1.72396,6.088,1.10E-05,209.841,752.48,1.2
Cu0.406Ti0.594,Y2O3,54.38596491,1423,148.632,1.68616,5.248,1.34E-05,206.586,752.48,1.2
Cu,Er2O3,144.5614035,1423,132,1.9,10,0,225,740.88,1.2
Cu0.963Ti0.037,Er2O3,118.9473684,1423,133.036,1.88668,9.704,8.34E-07,223.853,740.88,1.2
Cu0.903Ti0.097,Er2O3,91.57894737,1423,134.716,1.86508,9.224,2.19E-06,221.993,740.88,1.2
Cu0.848Ti0.152,Er2O3,81.40350877,1423,136.256,1.84528,8.784,3.43E-06,220.288,740.88,1.2
Cu0.733Ti0.267,Er2O3,68.77192982,1423,139.476,1.80388,7.864,6.02E-06,216.723,740.88,1.2
Cu0.663Ti0.337,Er2O3,64.56140351,1423,141.436,1.77868,7.304,7.59E-06,214.553,740.88,1.2
Cu0.577Ti0.423,Er2O3,63.15789474,1423,143.844,1.74772,6.616,9.53E-06,211.887,740.88,1.2
Cu0.496Ti0.504,Er2O3,62.45614035,1423,146.112,1.71856,5.968,1.14E-05,209.376,740.88,1.2
Cu0.412Ti0.588,Er2O3,62.10526316,1423,148.464,1.68832,5.296,1.32E-05,206.772,740.88,1.2
Cu,Y2O3,137,1423,132,1.9,10,0,225,752.48,1.2
Cu0.877Ge0.123,Y2O3,110,1423,130.524,1.91353,10,0,225,752.48,1.2
Cu0.843Ge0.157,Y2O3,90,1423,130.116,1.91727,10,0,225,752.48,1.2
Cu0.726Ge0.274,Y2O3,79,1423,128.712,1.93014,10,0,225,752.48,1.2
